COHORT,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Fall 2010,NaN,3.0,16.0,35.0,414.0,422.0,792.0,345.0,234.0,88.0,78.0,28.0,54.0,16.0,29.0,8.0,16.0,7.0,16.0,6.0,16.0
Fall 2011,NaN,1.0,20.0,35.0,486.0,412.0,751.0,364.0,253.0,86.0,82.0,29.0,46.0,19.0,26.0,15.0,21.0,10.0,13.0,NaN,NaN
Fall 2012,NaN,1.0,17.0,38.0,504.0,517.0,894.0,303.0,210.0,68.0,57.0,23.0,32.0,13.0,35.0,12.0,19.0,NaN,NaN,NaN,NaN
Fall 2013,NaN,1.0,25.0,79.0,741.0,637.0,756.0,229.0,156.0,50.0,49.0,24.0,36.0,22.0,23.0,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2014,1.0,3.0,24.0,77.0,872.0,670.0,630.0,194.0,150.0,54.0,60.0,25.0,34.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2015,1.0,3.0,41.0,127.0,1056.0,699.0,585.0,204.0,128.0,67.0,55.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2016,2.0,6.0,46.0,144.0,1075.0,558.0,472.0,157.0,109.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2017,2.0,3.0,63.0,132.0,1045.0,527.0,396.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2018,NaN,3.0,59.0,206.0,1265.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2019,5.0,6.0,61.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2020,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
