COHORT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Fall 2010,100.0,97.42657342657343,88.55944055944056,85.98601398601399,82.51748251748252,80.1958041958042,78.93706293706295,76.53146853146853,62.01398601398601,49.25874125874125,24.643356643356643,13.986013986013987,6.909090909090909,4.755244755244755,2.6013986013986012,1.6503496503496504,0.7832167832167832,0.5034965034965035,0.3916083916083916,0.4755244755244755,0.36363636363636365,0.3356643356643357,0.13986013986013987,0.13986013986013987,0.08391608391608392,0.08391608391608392
Fall 2011,100.0,97.25076367675646,87.17023049153013,84.44876423215774,82.28269925020828,79.8667036934185,77.78394890308248,75.42349347403498,60.427658983615665,47.59788947514579,24.271035823382395,13.718411552346572,6.442654818106082,3.9988891974451537,2.110524854207165,1.3329630658150513,0.9719522354901416,0.7220216606498195,0.583171341294085,0.38878089419605666,0.22216051096917525,0.0833101916134407,0.11108025548458762,0.1666203832268814,NaN,NaN
Fall 2012,100.0,97.51937984496124,88.24289405684755,85.8656330749354,81.08527131782945,78.24289405684755,76.22739018087856,74.4186046511628,58.78552971576227,44.315245478036175,18.449612403100776,10.20671834625323,4.470284237726098,2.7131782945736433,1.3953488372093024,0.9560723514211886,0.8268733850129198,0.5684754521963824,0.31007751937984496,0.3359173126614987,0.2583979328165375,0.2583979328165375,NaN,NaN,NaN,NaN
Fall 2013,100.0,97.74878485546175,89.6392939370683,86.72294704528012,82.65541059094397,80.66001534919417,78.97160399079048,75.92734714760809,52.596572013302634,34.84267075978511,12.560757226912253,6.190841647480174,2.941928882067025,1.66282936812484,1.0488616014325916,0.844205679201842,0.6139677666922486,0.4348938347403428,0.3581478639038117,0.33256587362496803,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2014,100.0,97.52895752895753,89.54954954954954,86.56370656370656,83.01158301158301,80.51480051480051,78.45559845559845,76.16473616473617,48.82882882882883,30.090090090090087,11.943371943371943,6.306306306306306,3.5263835263835266,2.3423423423423424,1.5444015444015444,1.1583011583011582,0.8236808236808236,0.7207207207207207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2015,100.0,97.58323057953145,89.71639950678176,87.2996300863132,82.83600493218249,79.70406905055486,78.1750924784217,74.77188655980271,44.43896424167694,25.84463625154131,10.35758323057953,5.252774352651048,2.8853267570900125,1.775585696670777,1.2330456226880395,0.813810110974106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2016,100.0,97.13093375065206,88.26291079812206,84.87219613980177,80.59467918622848,77.90818988002086,75.4564423578508,70.73552425665102,38.26291079812207,22.69170579029734,9.181011997913407,4.929577464788732,2.8169014084507045,2.2430881585811164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2017,100.0,96.81597409606044,86.96708041014571,82.02914193200216,76.60550458715596,74.60874257960064,71.5866162978953,67.26929303831625,34.943335132218024,20.18348623853211,8.094981111710739,5.5585536967080404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2018,100.0,95.96027984653577,86.79756262694652,82.12593094109681,78.01850598059129,75.67140600315956,73.09862333559016,67.09546377792823,34.5745881290905,21.23674114195441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2019,100.0,96.04495353360709,88.56710611627405,83.3153231035228,77.93386643613573,75.62135292846337,72.59563432029393,67.97060730494921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2020,100.0,94.44696282864913,86.44605621033546,81.59564823209429,76.01994560290117,74.13871260199456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2021,100.0,94.64973928814328,84.90138290637044,82.02221718431196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fall 2022,100.0,95.67377354584971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
